,Entity,Code,Year,corruption_vdem_owid
231,Afghanistan,AFG,2020,0.869
465,Africa,,2020,0.62367857
576,Albania,ALB,2020,0.724
699,Algeria,DZA,2020,0.689
822,Angola,AGO,2020,0.579
1056,Argentina,ARG,2020,0.433
1161,Armenia,ARM,2020,0.315
1395,Asia,,2020,0.5498775
1629,Australia,AUS,2020,0.029
1856,Austria,AUT,2020,0.07
2066,Azerbaijan,AZE,2020,0.939
2166,Bahrain,BHR,2020,0.714
2399,Bangladesh,BGD,2020,0.901
2522,Barbados,BRB,2020,0.078
2832,Belarus,BLR,2020,0.375
3066,Belgium,BEL,2020,0.021
3189,Benin,BEN,2020,0.222
3312,Bhutan,BTN,2020,0.112
3510,Bolivia,BOL,2020,0.655
3704,Bosnia and Herzegovina,BIH,2020,0.752
3827,Botswana,BWA,2020,0.102
4061,Brazil,BRA,2020,0.541
4369,Bulgaria,BGR,2020,0.552
4458,Burkina Faso,BFA,2020,0.447
4565,Burundi,BDI,2020,0.895
4688,Cambodia,KHM,2020,0.899
4750,Cameroon,CMR,2020,0.915
4932,Canada,CAN,2020,0.036
5055,Cape Verde,CPV,2020,0.24
5158,Central African Republic,CAF,2020,0.819
5261,Chad,TCD,2020,0.938
5495,Chile,CHL,2020,0.058
5729,China,CHN,2020,0.385
5963,Colombia,COL,2020,0.437
6054,Comoros,COM,2020,0.85
6174,Congo,COG,2020,0.816
6359,Costa Rica,CRI,2020,0.189
6482,Cote d'Ivoire,CIV,2020,0.632
6564,Croatia,HRV,2020,0.305
6798,Cuba,CUB,2020,0.586
6921,Cyprus,CYP,2020,0.214
7155,Czechia,CZE,2020,0.23
7278,Democratic Republic of Congo,COD,2020,0.913
7512,Denmark,DNK,2020,0.002
7635,Djibouti,DJI,2020,0.671
7814,Dominican Republic,DOM,2020,0.623
7878,East Timor,TLS,2020,0.298
8071,Ecuador,ECU,2020,0.639
8305,Egypt,EGY,2020,0.762
8490,El Salvador,SLV,2020,0.69
8613,Equatorial Guinea,GNQ,2020,0.875
8736,Eritrea,ERI,2020,0.641
8970,Estonia,EST,2020,0.04
9093,Eswatini,SWZ,2020,0.499
9327,Ethiopia,ETH,2020,0.487
9561,Europe,,2020,0.25392684
9684,Fiji,FJI,2020,0.278
9918,Finland,FIN,2020,0.013
10102,France,FRA,2020,0.057
10215,Gabon,GAB,2020,0.818
10338,Gambia,GMB,2020,0.329
10560,Georgia,GEO,2020,0.13
10790,Germany,DEU,2020,0.016
10911,Ghana,GHA,2020,0.62
11145,Greece,GRC,2020,0.23
11378,Guatemala,GTM,2020,0.771
11501,Guinea,GIN,2020,0.862
11624,Guinea-Bissau,GNB,2020,0.842
11747,Guyana,GUY,2020,0.419
11981,Haiti,HTI,2020,0.848
12325,Honduras,HND,2020,0.83
12448,Hong Kong,HKG,2020,0.096
12682,Hungary,HUN,2020,0.503
12805,Iceland,ISL,2020,0.013
13038,India,IND,2020,0.607
13261,Indonesia,IDN,2020,0.78
13495,Iran,IRN,2020,0.794
13729,Iraq,IRQ,2020,0.868
13963,Ireland,IRL,2020,0.041
14169,Israel,ISR,2020,0.127
14377,Italy,ITA,2020,0.167
14500,Jamaica,JAM,2020,0.176
14734,Japan,JPN,2020,0.088
14835,Jordan,JOR,2020,0.487
15069,Kazakhstan,KAZ,2020,0.839
15192,Kenya,KEN,2020,0.661
15216,Kosovo,OWID_KOS,2020,0.351
15450,Kuwait,KWT,2020,0.471
15597,Kyrgyzstan,KGZ,2020,0.788
15824,Laos,LAO,2020,0.737
16058,Latvia,LVA,2020,0.116
16163,Lebanon,LBN,2020,0.769
16286,Lesotho,LSO,2020,0.497
16461,Liberia,LBR,2020,0.837
16541,Libya,LBY,2020,0.803
16769,Lithuania,LTU,2020,0.12
16892,Luxembourg,LUX,2020,0.027
17098,Madagascar,MDG,2020,0.804
17221,Malawi,MWI,2020,0.668
17344,Malaysia,MYS,2020,0.423
17467,Maldives,MDV,2020,0.434
17590,Mali,MLI,2020,0.787
17713,Malta,MLT,2020,0.194
17832,Mauritania,MRT,2020,0.824
17955,Mauritius,MUS,2020,0.492
18268,Mexico,MEX,2020,0.582
18537,Moldova,MDA,2020,0.625
18649,Mongolia,MNG,2020,0.66
18803,Montenegro,MNE,2020,0.537
19037,Morocco,MAR,2020,0.595
19160,Mozambique,MOZ,2020,0.562
19394,Myanmar,MMR,2020,0.4
19517,Namibia,NAM,2020,0.28
19812,Nepal,NPL,2020,0.691
20046,Netherlands,NLD,2020,0.022
20216,New Zealand,NZL,2020,0.009
