,Entity,Emigrants,Year,Temperature anomaly,Corruption Index,Human Development Index
0,United Arab Emirates,0.203214,2020,0.5465617,0.111,0.93
1,Afghanistan,5.853838,2020,-0.17106383,0.869,0.488
2,Algeria,2.022337,2020,1.0175474,0.689,0.73
3,Azerbaijan,1.163922,2020,0.48480335,0.939,0.722
4,Albania,1.250451,2020,0.70860314,0.724,0.784
5,Armenia,0.95819,2020,0.61088175,0.315,0.769
6,Angola,0.668066,2020,0.40164614,0.579,0.594
7,Argentina,1.076148,2020,0.5626853,0.433,0.841
8,Australia,0.598765,2020,0.41343197,0.029,0.948
9,Austria,0.60074,2020,0.8536634,0.07,0.916
10,Bahrain,0.05827,2020,0.54506445,0.714,0.884
11,Botswana,0.063561,2020,-0.08125361,0.102,0.701
12,Belgium,0.577463,2020,1.2416726,0.021,0.93
13,Bangladesh,7.401763,2020,0.0289251,0.901,0.657
14,Bosnia and Herzegovina,1.687639,2020,0.79092836,0.752,0.776
15,Bolivia,0.927244,2020,0.81077784,0.655,0.691
16,Benin,0.681827,2020,0.2877291,0.222,0.501
17,Belarus,1.483626,2020,1.7906607,0.375,0.8
18,Solomon Islands,0.00427,2020,0.53623104,0.647,0.566
19,Brazil,1.897128,2020,0.1949536,0.541,0.758
20,Bhutan,0.051998,2020,0.27551022,0.112,0.675
21,Bulgaria,1.683074,2020,0.8913043,0.552,0.802
22,Burundi,0.551105,2020,0.74713343,0.895,0.419
23,Canada,1.292329,2020,0.14486933,0.036,0.928
24,Cambodia,1.104819,2020,0.3121861,0.899,0.596
25,Chad,0.222303,2020,0.40654388,0.938,0.396
26,Sri Lanka,1.960025,2020,0.41259113,0.599,0.777
27,Congo,0.223767,2020,0.6548734,0.816,0.598
28,China,10.46117,2020,0.4208019,0.385,0.781
29,Chile,0.6438,2020,0.45477936,0.058,0.849
30,Cameroon,0.441015,2020,0.613986,0.915,0.585
31,Comoros,0.150823,2020,0.344622,0.85,0.588
32,Colombia,3.024273,2020,0.6619994,0.437,0.756
33,Costa Rica,0.150241,2020,0.40286413,0.189,0.811
34,Central African Republic,0.816668,2020,0.7922945,0.819,0.389
35,Cuba,1.7573,2020,0.6797907,0.586,0.759
