,Entity,Code,Year,Temperature anomaly
80,Afghanistan,AFG,2020,-0.17106383
164,Albania,ALB,2020,0.70860314
248,Algeria,DZA,2020,1.0175474
332,American Samoa,ASM,2020,0.22841978
416,Andorra,AND,2020,0.3942171
500,Angola,AGO,2020,0.40164614
584,Anguilla,AIA,2020,0.34587178
668,Antigua and Barbuda,ATG,2020,0.27827945
752,Argentina,ARG,2020,0.5626853
836,Armenia,ARM,2020,0.61088175
920,Australia,AUS,2020,0.41343197
1004,Austria,AUT,2020,0.8536634
1088,Azerbaijan,AZE,2020,0.48480335
1172,Bahamas,BHS,2020,0.6175348
1256,Bahrain,BHR,2020,0.54506445
1340,Bangladesh,BGD,2020,0.0289251
1424,Belarus,BLR,2020,1.7906607
1508,Belgium,BEL,2020,1.2416726
1592,Belize,BLZ,2020,0.86107236
1676,Benin,BEN,2020,0.2877291
1760,Bhutan,BTN,2020,0.27551022
1844,Bolivia,BOL,2020,0.81077784
1928,Bosnia and Herzegovina,BIH,2020,0.79092836
2012,Botswana,BWA,2020,-0.08125361
2096,Brazil,BRA,2020,0.1949536
2180,Brunei,BRN,2020,0.48806334
2264,Bulgaria,BGR,2020,0.8913043
2348,Burkina Faso,BFA,2020,0.34137774
2432,Burundi,BDI,2020,0.74713343
2516,Cambodia,KHM,2020,0.3121861
2600,Cameroon,CMR,2020,0.613986
2684,Canada,CAN,2020,0.14486933
2768,Cape Verde,CPV,2020,0.41485992
2852,Cayman Islands,CYM,2020,0.5248324
2936,Central African Republic,CAF,2020,0.7922945
3020,Chad,TCD,2020,0.40654388
3104,Chile,CHL,2020,0.45477936
3188,China,CHN,2020,0.4208019
3272,Colombia,COL,2020,0.6619994
3356,Comoros,COM,2020,0.344622
3440,Congo,COG,2020,0.6548734
3524,Cook Islands,COK,2020,0.35813412
3608,Costa Rica,CRI,2020,0.40286413
3692,Cote d'Ivoire,CIV,2020,0.4674619
3776,Croatia,HRV,2020,0.6706104
3860,Cuba,CUB,2020,0.6797907
3944,Cyprus,CYP,2020,0.49807563
4028,Czechia,CZE,2020,0.8873355
4112,Democratic Republic of Congo,COD,2020,0.7267391
4196,Denmark,DNK,2020,1.1884593
4280,Djibouti,DJI,2020,0.29264292
4364,Dominican Republic,DOM,2020,0.63328457
